sku,model,pass_num,platform,title,description,prompt_tokens,completion_tokens,cached_tokens,latency_ms,cost_usd,parse_mode,json_retries,api_retries,has_approved_content,error
DM-1/3X,gpt-5.2,1,google,"{FINISH_NAME} 3X 8-Inch Makeup Mirror - Height Adjustable Countertop, Traditional Style - Allied Brass","Set your sightline exactly where you need it—this 8-inch solid brass countertop makeup mirror adjusts in height from 17 to 23 inches and pivots/tilts for versatile viewing angles on your vanity. {FINISH_SENTENCE} The double-faced 8-inch mirror glass gives you a standard view on one side plus 3X magnification on the other for detailed makeup and shaving. Traditional styling keeps the profile classic while the sturdy, heavy solid brass base helps prevent tipping during daily use. A felt pad on the base helps prevent scratching on countertops and vanity tops. Designed as a countertop mirror on stand, it requires no assembly and includes the make-up mirror—ready to place and use right out of the box.",10433,1593,1664,18000,0.037939,strict_json,1,1,False,
DM-1/3X,gpt-5.2,1,bing,{FINISH_NAME} 3X Magnifying 8-Inch Height Adjustable Countertop Makeup Mirror - Solid Brass - Allied Brass,"8-inch diameter double-faced make-up mirror crafted from solid brass, designed as a countertop mirror on stand with height adjustment from 17 to 23 inches. {FINISH_SENTENCE} One side is a clear vanity mirror, and the other side provides 3X magnification for detailed makeup and grooming. The mirror head pivots and tilts to dial in your viewing angle for makeup or shaving. A heavy solid brass base helps prevent tipping, and a felt pad on the bottom helps protect the countertop from scratches. Traditional styling keeps the profile classic and easy to coordinate with other bath accessories. Includes the make-up mirror and requires no assembly—an adjustable height makeup mirror built for everyday use.",9199,1370,0,19358,0.035278,strict_json,1,1,False,
DM-1/3X,gpt-5.2,1,shopify,Makeup Mirrors - 8-Inch 3X Height Adjustable Solid Brass Countertop Mirror,"<p>Dial in your view at the sink with a mirror that adjusts to you: this 8-inch, double-faced vanity mirror raises from 17 to 23 inches and pivots/tilts for flexible viewing angles.</p>
<p>Designed in a traditional style and crafted from solid brass, this brass makeup mirror brings a more substantial, design-forward look to your countertop while keeping everyday grooming details in clear focus—use the standard side for an all-around view, then flip to the 3X magnification side for precision.</p>
<ul>
  <li><strong>Height-adjustable viewing:</strong> Adjusts from 17 to 23 inches and pivots/tilts for versatile angles.</li>
  <li><strong>8-inch double-faced glass:</strong> 8-inch diameter mirror provides two viewing surfaces in one countertop mirror on stand.</li>
  <li><strong>3X magnification option:</strong> One side offers 3X magnification for detailed makeup or shaving.</li>
  <li><strong>Solid brass construction:</strong> Crafted from solid brass materials for lasting durability.</li>
  <li><strong>Stable, surface-friendly base:</strong> Heavy solid brass base helps prevent tipping, while a felt pad helps prevent scratching on surfaces.</li>
  <li><strong>Finish coordination:</strong> Available in a wide variety of lifetime designer finishes to coordinate with your bathroom hardware.</li>
</ul>
<p>Includes one make-up mirror and requires no assembly—an easy upgrade when you want an adjustable height makeup mirror that looks as intentional as the rest of your bath accessories.</p>",8352,1437,0,15507,0.034734,strict_json,1,1,False,
433/18,gpt-5.2,1,google,{FINISH_NAME} 18-Inch Glass Shelf - Venus Collection - Wall Mount - Allied Brass,"Concealed screw mounting keeps the wall line clean while 1/4-inch-thick glass delivers safety and strength on this 18-inch wall-mounted glass shelf, supported by solid brass hardware. {FINISH_SENTENCE} Part of the Venus Collection, the design centers on perfectly round backplates and smooth cylindrical posts—pure circular geometry that suits minimalist bathroom hardware. Use the shelf as a simple, organized landing spot for everyday bath items, and coordinate it with matching Venus pieces for a cohesive set of wall mounted bath accessories and zen bath accessories styling. Crafted from brass for lasting performance as one of your durable bathroom fixtures. Includes the glass shelf and all installation hardware, requires no assembly, and is backed by a Limited Lifetime Warranty.",10351,1871,1664,28821,0.041687,strict_json,1,1,False,
433/18,gpt-5.2,1,bing,{FINISH_NAME} Wall Mounted Glass Shelf - Venus Collection - 18 Inch - Allied Brass,"This 18-inch wall-mounted glass shelf pairs 1/4-inch thick glass with solid brass mounting hardware for clean, secure bathroom storage. {FINISH_SENTENCE} Concealed screw mounting hardware keeps fasteners out of sight for a more finished look and straightforward installation, and the glass shelf plus all installation hardware are included. As part of the Venus collection, it reflects the line’s focus on pure circular geometry with perfectly round backplates and smooth cylindrical posts—an intentional, minimalist bathroom hardware detail that reads crisp and uncluttered on the wall. A smart pick for coordinated, wall mounted bath accessories and other durable bathroom fixtures when you want a calm, zen bath accessories feel without added ornament. Backed by a Limited Lifetime Warranty for confidence over time.",9117,1787,0,20390,0.040973,strict_json,1,1,False,
433/18,gpt-5.2,1,shopify,Venus Collection 18-Inch Glass Shelf with Solid Brass Hardware,"<p>Get a clean, secure spot for everyday bath items without giving up wall space—this 18-inch glass shelf pairs 1/4-inch thick glass with solid brass mounting hardware for a shelf that looks intentional and feels built to last.</p>
<p>Part of the <strong>Venus Collection</strong>, the design centers on pure circular geometry: perfectly round backplates and smooth cylindrical posts that keep the look calm, minimal, and easy to coordinate with matching Venus pieces.</p>
<ul>
  <li><strong>1/4-inch thick glass:</strong> Designed for added safety and strength in a bathroom setting.</li>
  <li><strong>Solid brass hardware:</strong> Built with brass components for durable bathroom fixtures in humid environments.</li>
  <li><strong>Concealed screw mounting:</strong> Hidden fasteners keep the installation looking clean and streamlined.</li>
  <li><strong>18-inch wall-mounted shelf:</strong> A practical size for organizing toiletries as part of your wall mounted bath accessories.</li>
  <li><strong>No assembly required:</strong> Designed to install without additional assembly steps.</li>
</ul>
<p>Includes the glass shelf and all installation hardware, and it’s backed by a Limited Lifetime Warranty for added confidence.</p>",8270,1242,0,15663,0.03186,strict_json,1,1,False,
CM-P-700-24-GB,gpt-5.2,1,google,{FINISH_NAME} 24-Inch Decorative Grab Bar - Camo Collection - Farmhouse Style - Allied Brass,"Get a steady handhold without giving up style: this 24-inch wall-mount solid brass grab bar combines a camouflage pattern with industrial pipe-fitting details for a farmhouse look that stands out.
{FINISH_SENTENCE}
Part of the Allied Brass Camo Collection, the camo pattern is applied with protective materials to keep a decorative, clean finish. Solid brass construction is designed for corrosion-free and rust-free performance, making it a smart choice when you want durable bathroom fixtures that still read as designer bathroom hardware. Grab bars help maintain balance, minimize fatigue, and provide a sense of security in and around the bathroom—useful for elders, children, caregivers assisting transfers, or anyone who wants added stability near the tub, shower, or toilet. This piece installs as wall mounted bath accessories with color-coordinated mounting hardware; grab bar and all installation hardware are included, and no assembly is required. Backed by a limited lifetime warranty.",11233,2016,1664,27941,0.045261,strict_json,1,1,False,
CM-P-700-24-GB,gpt-5.2,1,bing,{FINISH_NAME} Grab Bar - 24-Inch Solid Brass - Camo Collection - Allied Brass,"This 24-inch wall-mounted grab bar is crafted from solid brass and styled with a distinctive camouflage pattern and industrial pipe-style fittings for a farmhouse look. {FINISH_SENTENCE} Designed to help maintain balance, minimize fatigue, and add a sense of security in the bathroom, it supports safer movement for elders, children, and anyone who needs a steady handhold, and it can make caregiver assistance and transferring more manageable. The camo pattern is protected with lifetime materials for a decorative, clean finish, and the material choice is made to stay corrosion-free and rust-free. Installs as wall mounted bath accessories with color-coordinated mounting hardware (#12 x 2"" screws) included—no assembly required. A smart pick for durable bathroom fixtures and designer bathroom hardware that coordinates within the Allied Brass Camo Collection, backed by a limited lifetime warranty.",9999,1726,0,15118,0.041662,strict_json,1,1,False,
CM-P-700-24-GB,gpt-5.2,1,shopify,Camo Collection 24-Inch Decorative Wall Mounted Grab Bar,"<p>Need a secure handhold without giving up a bold, outdoors-inspired look? The Camo Collection 24-inch grab bar pairs a distinctive camouflage pattern with industrial pipe-fitting details to add confidence and character to your bathroom.</p>
<p>Designed with a farmhouse style influence, this wall mount grab bar brings the Camo Collection’s signature theme to a high-use safety accessory. The camo pattern is protected with lifetime materials for a decorative, clean finish, while the solid brass construction is chosen to help resist corrosion and rust in bathroom conditions.</p>
<ul>
  <li><strong>24-inch length:</strong> A practical grab bar size for added stability and balance support.</li>
  <li><strong>Solid brass construction:</strong> Made from durable solid metal for long-term performance.</li>
  <li><strong>Wall mount design:</strong> A space-saving choice for wall mounted bath accessories and everyday support.</li>
  <li><strong>Camouflage + pipe-fitting styling:</strong> Industrial pipe fittings blend farmhouse style with the camo theme for designer bathroom hardware that doesn’t look clinical.</li>
  <li><strong>Corrosion- and rust-resistant materials:</strong> The camo finish is designed to provide corrosion-free and rust-free performance.</li>
  <li><strong>Hardware included:</strong> Comes with a grab bar and all installation hardware, including color coordinated mounting screws (#12 x 2"").</li>
</ul>
<p>Backed by a limited lifetime warranty, this is a quality bath accessory built to coordinate with other Camo Collection pieces for a cohesive set of durable bathroom fixtures.</p>",9152,1221,0,13841,0.03311,strict_json,1,1,False,
2020T,gpt-5.2,1,google,"{FINISH_NAME} Solid Brass Robe Hook, Wall Mounted - Continental Collection 2.8-Inch, Twist Accents - Allied Brass","That perfectly round backplate with a gently curved hook and twist accents gives this 2.8-inch solid brass wall mounted robe hook a refined, unfussy profile. {FINISH_SENTENCE} Finished with a designer lifetime finish for lasting performance, it’s built to be a sturdy bathroom hook for robes and towels in everyday use. Concealed screw mounting keeps fasteners out of sight for a cleaner decorative bathroom hook look, and the wall-mounted design is an ideal use of space that helps save floor space. Part of the Continental Collection, the balanced circular proportions and smooth surfaces feel at home as transitional bathroom hardware—an easy way to create a matching Continental look across versatile bath accessories. No assembly required; includes the robe hook and all installation hardware. Backed by a Limited Lifetime Warranty.",10395,3346,3328,43605,0.059794,strict_json,1,1,False,
