sku,model,pass_num,platform,title,description,prompt_tokens,completion_tokens,cached_tokens,latency_ms,cost_usd,parse_mode,json_retries,api_retries,has_approved_content,error
DM-1/3X,claude-opus-4-6,1,google,{FINISH_NAME} 8-Inch 3X Magnifying Makeup Mirror - Height Adjustable Countertop Solid Brass - Allied Brass,"This 8-inch double-faced vanity mirror adjusts from 17 to 23 inches in height, letting you dial in the perfect angle whether you're seated at a vanity or standing at a countertop. {FINISH_SENTENCE} The 3X magnification on one side delivers the close-up detail needed for precise makeup application and grooming, while the standard side gives you a true-to-life view — just pivot and tilt the mirror head to switch between them. Built entirely from solid brass, including a heavy weighted base with a felt pad on the bottom, this countertop mirror on stand resists tipping during use and won't scratch your surface. Unlike lightweight mirrors that wobble or drift mid-use, the solid brass construction holds its position exactly where you set it — no readjusting, no frustration. The traditional design makes this adjustable height makeup mirror a natural fit alongside coordinating brass bathroom accessories, and no assembly is required — place it on your countertop and it's ready to use.",6,303,0,7674,0.007605,strict_json,1,1,False,
DM-1/3X,claude-opus-4-6,1,bing,{FINISH_NAME} 8-Inch 3X Magnifying Makeup Mirror - Height Adjustable Countertop Solid Brass Vanity Mirror - Allied Brass,"This 8-inch double-faced countertop makeup mirror is built entirely from solid brass — from the tilting arm down to the heavy weighted base that resists tipping on marble, granite, or tile vanity tops. {FINISH_SENTENCE} A felt pad on the underside protects your countertop from scratches, while the height-adjustable stem extends from 17 to 23 inches so you can position the mirror at exactly the right level whether seated or standing. One side offers 3X magnification for detailed grooming and precise makeup application; flip to the standard side for a true-reflection check before you walk out the door. The pivot-and-tilt head moves freely to any viewing angle, making this adjustable height makeup mirror practical for every member of the household. Solid brass construction means this vanity mirror won't corrode or degrade in the humid bathroom environment where lesser materials fail. No assembly required — simply place it on your countertop and adjust. A traditional design that coordinates easily with other solid brass bathroom accessories for a cohesive, intentional look across your space.",6,296,0,8168,0.00743,strict_json,1,1,False,
DM-1/3X,claude-opus-4-6,1,shopify,Height Adjustable 8-Inch Countertop Makeup Mirror with 3X Magnification,"<p>Most countertop makeup mirrors lock you into one height — so you're either hunching over the vanity or craning your neck depending on whether you're sitting or standing. This 8-inch vanity mirror adjusts from 17 to 23 inches tall, letting you dial in the exact eye-level position for detailed grooming without straining.</p><p>Built around a traditional design sensibility, this double-faced countertop mirror on stand delivers 3X magnification on one side for close-up work — tweezing, eyeliner, contact lenses — and a standard view on the reverse for a full-face check before you walk out the door. The mirror head pivots and tilts freely, so you can angle light exactly where you need it without repositioning the entire base.</p><ul><li><strong>Solid brass construction throughout</strong> — from the base to the stem to the mirror housing, every component is solid brass, not hollow tubing that wobbles after a few months of daily adjustments</li><li><strong>Heavy weighted base with felt pad</strong> — the substantial brass base resists tipping on granite, marble, or tile countertops, while the felt underside prevents scratching on any surface</li><li><strong>8-inch diameter double-faced mirror</strong> — large enough to see your full face on the standard side, with 3X magnification on the reverse for precision detail work</li><li><strong>Adjustable height makeup mirror</strong> — extends from 17 to 23 inches to accommodate sitting or standing use at the vanity</li><li><strong>Tilt-adjustable viewing angle</strong> — the mirror head pivots smoothly to any position and holds its angle without drifting</li><li><strong>No assembly required</strong> — arrives ready to place on your countertop immediately</li></ul><p>Backed by a lifetime finish warranty and available in a wide range of designer finishes — including specialty options like Unlacquered Brass and Venetian Bronze — this brass makeup mirror coordinates effortlessly with other bathroom accessories across the same finish family.</p>",6,564,0,13583,0.01413,strict_json,1,1,False,
433/18,claude-opus-4-6,1,google,{FINISH_NAME} 18-Inch Solid Brass Glass Shelf - Venus Collection Wall Mount - Allied Brass,"Round backplates and smooth cylindrical posts define the Venus Collection's minimalist geometry — and on this 18-inch glass shelf, those clean circular forms become functional wall-mounted brackets that hold 1/4-inch thick tempered glass without visual clutter. {FINISH_SENTENCE} The solid brass mounting hardware resists corrosion in bathroom humidity where lesser metals pit and tarnish, while concealed screw mounting keeps the wall surface clean with no exposed fasteners. At 18 by 5 inches, the glass shelf provides practical storage for everyday essentials — bottles, candles, or grooming products — without overwhelming smaller bathroom layouts. Solid brass construction gives the brackets a substantial, reassuring weight that you notice immediately during installation, a clear difference from lightweight alternatives that loosen over time. The Venus Collection coordinates across matching towel bars, robe hooks, and soap dishes, so every wall-mounted bath accessory in the room shares the same intentional simplicity. Includes the glass shelf and all installation hardware, backed by a limited lifetime warranty.",6,286,0,7526,0.00718,strict_json,1,1,False,
433/18,claude-opus-4-6,1,bing,{FINISH_NAME} 18-Inch Solid Brass Glass Shelf - Wall Mount - Venus Collection - Allied Brass,"This 18-inch wall mounted glass shelf from the Venus Collection features 1/4-inch thick tempered glass supported by solid brass mounting hardware — built to hold toiletries, candles, or everyday essentials without flexing or sagging. {FINISH_SENTENCE} The glass measures 18 x 5 inches, providing a practical display surface that fits neatly above a vanity, beside a mirror, or next to the shower without crowding the wall. Concealed screw mounting keeps installation hardware hidden for a clean, streamlined look that suits the Venus Collection's minimalist bathroom hardware aesthetic — perfectly round backplates and smooth cylindrical posts create a serene, architectural presence. Solid brass brackets resist the moisture and humidity that cause lesser fixtures to corrode, pit, or loosen over time, making this shelf a durable bathroom fixture that holds up for years in daily use. No assembly required — glass shelf and all mounting hardware are included. Coordinates with matching Venus towel bars, robe hooks, and bath accessories for a unified modern bathroom design. Backed by a limited lifetime warranty from Allied Brass.",6,286,0,7769,0.00718,strict_json,1,1,False,
433/18,claude-opus-4-6,1,shopify,Venus Collection 18-Inch Glass Shelf with Solid Brass Wall Mount,"<p>Most glass shelves bolt to the wall with stamped metal brackets that announce themselves. The Venus Collection takes a different approach — perfectly round backplates and smooth cylindrical posts hold a 1/4-inch tempered glass shelf in place while concealed screw mounting keeps all fasteners hidden from view. The result is a clean, uninterrupted line of glass that appears to float against your bathroom wall.</p><p>Venus celebrates pure circular geometry as its defining design language. Every curve on this 18-inch glass shelf is intentional — round backplates, cylindrical supports, zero ornamentation. It's minimalist bathroom hardware designed for contemporary spaces where visual quiet matters as much as function. The 18 x 5-inch glass surface provides genuine storage for daily essentials — skincare, fragrances, small containers — without consuming floor space or cluttering your vanity countertop.</p><ul><li><strong>Solid brass brackets and mounting hardware</strong> — corrosion-resistant construction that holds up in the humidity and steam of daily bathroom use, year after year</li><li><strong>1/4-inch thick glass shelf</strong> — noticeably thicker than standard shelves, providing both structural strength and a substantial, refined look</li><li><strong>Concealed screw mounting</strong> — all installation hardware is hidden behind the backplates, so you see only the clean geometry of the Venus design</li><li><strong>18 x 5-inch glass surface</strong> — enough depth for toiletries and bottles without protruding awkwardly into the room</li><li><strong>No assembly required</strong> — shelf and all wall mounting hardware included in the box, ready for straightforward installation</li><li><strong>Coordinates with matching Venus accessories</strong> — towel bars, robe hooks, and tissue holders in the same circular-geometry design language across every available finish</li></ul><p>Backed by a limited lifetime warranty. Choose from the full range of finishes to coordinate with your existing fixtures and create a bathroom where every detail shares the same intentional, zen-inspired simplicity.</p>",6,551,0,21195,0.013805,strict_json,1,1,False,
CM-P-700-24-GB,claude-opus-4-6,1,google,{FINISH_NAME} 24-Inch Decorative Grab Bar - Solid Brass Farmhouse Camo Collection - Allied Brass,"Industrial pipe fittings wrapped in a camouflage pattern make this 24-inch grab bar unlike anything else in the bathroom hardware aisle — it is built for the outdoor enthusiast who wants farmhouse style without sacrificing safety. {FINISH_SENTENCE} Constructed from solid brass, this wall mounted grab bar delivers corrosion-free and rust-free performance in the high-humidity environment around showers, tubs, and toilets where cheaper materials break down. The Camo Collection's distinctive pattern is protected with lifetime materials, so the decorative finish stays clean and intact through years of daily use. Color-coordinated mounting hardware is included for a cohesive look against your wall, and no assembly is required — mount it directly to the wall studs for a secure hold. Whether you are adding support for aging family members, creating a safer bathing space for children, or simply want a reliable grip point that matches your personal style, this designer grab bar from the Allied Brass Camo Collection blends function and farmhouse character in a way mass-market bath accessories never do. Backed by a limited lifetime warranty.",6,305,0,8456,0.007655,strict_json,1,1,False,
CM-P-700-24-GB,claude-opus-4-6,1,bing,{FINISH_NAME} 24-Inch Decorative Grab Bar - Solid Brass Farmhouse Camo Collection Wall Mount - Allied Brass,"This 24-inch grab bar from the Allied Brass Camo Collection features industrial pipe fittings wrapped in a camouflage pattern — a farmhouse-style wall mount bathroom safety bar that looks intentional rather than institutional. {FINISH_SENTENCE} Built from solid brass for corrosion-free and rust-free performance, this decorative grab bar holds up in high-humidity environments where shower steam and water contact are constant. The industrial pipe fitting design blends the camo theme with farmhouse style, creating durable bathroom hardware that works as a design element rather than an afterthought. Color-coordinated mounting screws and included installation hardware mean a clean, finished look right out of the box — no assembly required. The Camo Collection lets you coordinate quality bath accessories with an outdoor aesthetic that speaks to anyone who wants their bathroom to reflect their personality. Backed by a limited lifetime warranty from Allied Brass.",6,249,0,15286,0.006255,strict_json,1,1,False,
CM-P-700-24-GB,claude-opus-4-6,1,shopify,Camo Collection 24-Inch Wall Mounted Grab Bar,"<p>Most grab bars look like medical equipment bolted to your wall. The Camo Collection 24-Inch Grab Bar takes a different approach — industrial pipe fittings paired with a camouflage pattern that turns a safety essential into a farmhouse-style design element. It's a grab bar that belongs in a bathroom designed around outdoor living, not one that apologizes for being there.</p><p>The industrial pipe fitting design draws from farmhouse hardware aesthetics, giving the bar a rugged, intentional look that pairs naturally with rustic tile, wood-tone vanities, and lodge-inspired spaces. The camo pattern is protected with lifetime-rated materials, so the finish stays clean and intact through years of daily bathroom humidity and use.</p><ul><li><strong>Solid brass construction</strong> — corrosion-resistant and rust-free, built to hold up in the high-moisture environment beside your shower or tub without degrading</li><li><strong>24-inch length</strong> — provides a full grip span for balance support in showers, beside tubs, or near toilets</li><li><strong>Wall mount installation</strong> — secures firmly with color-coordinated #12 x 2"" screws for a clean, intentional look with no mismatched hardware</li><li><strong>Industrial pipe fittings</strong> — the farmhouse-style mounting brackets give the bar architectural character that complements rustic and transitional bathroom designs</li><li><strong>No assembly required</strong> — arrives ready to install with all mounting hardware included</li></ul><p>Backed by a limited lifetime warranty. The Camo Collection includes coordinating bathroom accessories, so you can carry the same outdoor-inspired farmhouse theme across towel bars, hooks, and more throughout your bathroom.</p>",6,482,0,26529,0.01208,strict_json,1,1,False,
2020T,claude-opus-4-6,1,google,{FINISH_NAME} Solid Brass Robe Hook - Wall Mounted - Continental Collection - Allied Brass,"Perfectly round backplate and a gently curved hook give this Continental Collection robe hook a balanced, unfussy silhouette that works in both contemporary and traditional bathrooms. {FINISH_SENTENCE} Constructed entirely of solid brass — a material that resists corrosion and maintains its structural integrity in humid bathroom environments — this wall-mounted robe hook delivers the substantial feel and lasting durability that lighter materials simply cannot match. The concealed screw mounting keeps your wall clean with no visible hardware, while the twist accent detail along the post adds a subtle decorative touch that elevates this piece beyond a basic bathroom hook. At just 2.8 inches in projection, it fits comfortably in tight spaces like behind doors or in narrow powder rooms without crowding the wall. As part of the Continental Collection, this decorative bathroom hook coordinates with matching Continental towel bars, tissue holders, and other transitional bathroom hardware for a cohesive look throughout your space. Installation hardware is included and no assembly is required — mount it and start using it the same day. Backed by a limited lifetime warranty.",6,296,0,7526,0.00743,strict_json,1,1,False,
