sku,model,pass_num,platform,title,description,prompt_tokens,completion_tokens,cached_tokens,latency_ms,cost_usd,parse_mode,json_retries,api_retries,has_approved_content,error
DM-1/3X,claude-sonnet-4-6,1,google,{FINISH_NAME} 8-Inch 3X Magnifying Makeup Mirror - Height Adjustable Countertop Vanity Mirror - Solid Brass - Allied Brass,"At 8 inches across with 3X magnification on one side and true height adjustability from 17 to 23 inches, this countertop makeup mirror gives you a precise, close-up view exactly where you need it — whether you're working through a detailed makeup routine or shaving with precision. {FINISH_SENTENCE} The double-faced mirror glass puts a clear reflection on one side and 3X magnifying glass on the other, so you can switch instantly between a broad view and the kind of close-up detail that reveals every lash and brow hair. The solid brass arm and base aren't decorative details — they're structural. Solid brass resists corrosion and humidity, which matters in a bathroom where moisture is constant, and the heavy solid brass base is weighted specifically to prevent tipping even as you tilt and pivot the mirror through its full range of angles. A felt pad on the base protects your vanity countertop, marble surface, or tile from scratching — no matter how many times you reposition it. Unlike lightweight countertop mirrors that wobble or tip during use, this traditional-style mirror holds its position once set. The pivot-and-tilt mechanism lets you dial in your ideal viewing angle, and the telescoping stand adjusts to the height that works for your vanity setup. No assembly required — set it on your countertop and it's ready to use. Backed by a Limited Lifetime Warranty.",6,401,0,9470,0.006033,strict_json,1,1,False,
DM-1/3X,claude-sonnet-4-6,1,bing,{FINISH_NAME} 8-Inch 3X Magnifying Makeup Mirror Height Adjustable Countertop Solid Brass - Allied Brass,"This 8-inch countertop makeup mirror is built on a heavy solid brass base — weighted specifically to prevent tipping, a detail that sets it apart from lightweight vanity mirrors that shift with every adjustment. {FINISH_SENTENCE} The double-faced mirror glass delivers clear viewing on one side and 3X magnification on the other, making it equally practical for detailed eye makeup application or close shaving. Height adjusts from 17 to 23 inches, and the pivoting, tilting head lets you dial in the exact viewing angle without repositioning the base. Solid brass construction throughout — from the base to the arm — means no corrosion or wobble over time, even in a humid bathroom environment. The felt pad on the base protects countertop surfaces from scratching. A no-assembly-required countertop mirror on stand that combines traditional styling with genuine mechanical versatility, this adjustable height makeup mirror is a reliable, design-aware addition to any bathroom vanity.",6,267,0,8572,0.004023,strict_json,1,1,False,
DM-1/3X,claude-sonnet-4-6,1,shopify,Height-Adjustable 8-Inch 3X Magnifying Makeup Mirror - Countertop Vanity Mirror,"<p>Getting your eyeliner right or achieving an even shave requires more than a quick glance — it requires a mirror positioned exactly where you need it, at the right height, with the right magnification. This countertop makeup mirror adjusts in height from 17 to 23 inches, pivots and tilts to your preferred viewing angle, and delivers 3X magnification on one side for the close-up detail work that a standard bathroom mirror simply can't offer.</p><p>Constructed entirely from solid brass — arm, stem, and base — this is a countertop mirror built to last rather than wobble. The heavy solid brass base is weighted to resist tipping, and felt pads on the base protect your vanity surface from scratching. The traditional style gives it a refined, timeless presence that works across a wide range of bathroom aesthetics, from classic to transitional. The 8-inch double-faced mirror glass offers both a standard reflection and 3X magnification, so you can flip between detailed grooming and a full view without switching tools.</p><ul><li><strong>Solid brass construction throughout:</strong> Arm, stem, and base are all crafted from solid brass — corrosion-resistant and built to maintain its finish over years of daily bathroom use.</li><li><strong>Height adjustable from 17 to 23 inches:</strong> Positions to the right height for seated or standing use at the vanity.</li><li><strong>Pivots and tilts for any viewing angle:</strong> Full articulation means you can direct the mirror exactly where you need it.</li><li><strong>8-inch double-faced mirror with 3X magnification:</strong> One side for standard reflection, one side for detailed grooming — no separate magnifying mirror needed.</li><li><strong>Heavy weighted base prevents tipping:</strong> Stays stable on the countertop even during use.</li><li><strong>Felt pads protect your vanity surface:</strong> No scratching on tile, marble, or wood countertops.</li></ul><p>No assembly required — the mirror is ready to place on your vanity right out of the box. Available in a wide range of designer finishes so you can match your existing bathroom hardware. Backed by Allied Brass's commitment to solid brass quality.</p>",6,612,0,13289,0.009198,strict_json,1,1,False,
433/18,claude-sonnet-4-6,1,google,{FINISH_NAME} Venus Collection 18 Inch Glass Shelf | Solid Brass Wall-Mount Bathroom Hardware | Allied Brass,"Clear storage without visual clutter — this Venus Collection 18-inch glass shelf gives your bathroom wall a place to hold everyday essentials while the 1/4-inch thick glass and solid brass hardware keep the look light, open, and intentionally modern. {FINISH_SENTENCE} The Venus Collection is built around pure circular geometry and clean cylindrical forms, and that same minimalist philosophy carries through to this shelf: no ornate brackets competing for attention, just refined solid brass mounting hardware that anchors the glass with quiet confidence against the wall. At 18 x 5 inches, the shelf offers a practical footprint for storing toiletries, hand soap, small plants, or folded washcloths without overwhelming the wall space — ideal for bathrooms where every square inch counts. Solid brass construction is the right material choice here: it resists the corrosion and humidity damage that affects lesser metals in daily bathroom environments, so the hardware maintains its finish integrity through years of use. Concealed screw mounting keeps the installation clean with no exposed fasteners, delivering the seamless, architectural look that minimalist bathroom hardware demands. Coordinates naturally with matching Venus Collection towel bars, robe hooks, toilet paper holders, and other wall mounted bath accessories for a cohesive, serene bathroom hardware set. Glass shelf and all installation hardware included; no assembly required. Backed by a Limited Lifetime Warranty.",6,363,0,9687,0.005463,strict_json,1,1,False,
433/18,claude-sonnet-4-6,1,bing,{FINISH_NAME} Glass Shelf Venus Collection 18 Inch Solid Brass Wall Mount - Allied Brass,"An 18 x 5-inch wall-mounted glass shelf with quarter-inch-thick glass and solid brass hardware — the combination that keeps this shelf sturdy and corrosion-resistant for years in a bathroom environment. {FINISH_SENTENCE} The solid brass brackets and concealed screw mounting keep the wall surface clean, with no exposed hardware to detract from the shelf's minimal profile. Quarter-inch glass is thick enough to handle everyday bathroom essentials without flex or worry. Part of the Venus Collection, which is built around pure circular geometry — round backplates and smooth cylindrical posts — so this shelf coordinates cleanly with matching Venus towel bars, robe hooks, and accessories for a unified, minimalist bathroom look. Installation hardware is included, and no assembly is required before mounting. Backed by a Limited Lifetime Warranty, this wall-mounted bath accessory is built to last as both a functional and design-forward addition to your bathroom. The Venus Collection's commitment to clean, intentional simplicity makes it a natural fit for contemporary spaces where every fixture earns its place on the wall.",6,279,0,8748,0.004203,strict_json,1,1,False,
433/18,claude-sonnet-4-6,1,shopify,Venus Collection 18-Inch Wall Mount Glass Shelf,"<p>Finding functional bathroom storage that doesn't break the clean lines of a modern space is harder than it sounds. This 18-inch wall-mounted glass shelf from the Venus Collection delivers exactly that — a floating surface that holds your everyday essentials while keeping the wall behind it visible and uncluttered.</p><p>Venus is built around pure circular geometry: round backplates and smooth cylindrical posts that create a calm, architectural presence. The shelf itself carries that same intentional simplicity — quarter-inch-thick glass sitting cleanly in solid brass brackets, with no visible fasteners to distract from the minimal silhouette. It's the kind of minimalist bathroom hardware that designers reach for when every detail needs to earn its place.</p><ul><li><strong>Quarter-inch-thick glass:</strong> Provides a stable, sturdy surface with a clean, transparent look that keeps the wall feeling open.</li><li><strong>Solid brass hardware:</strong> The brackets and mounting components are solid brass — corrosion-resistant and built to hold up in humid bathroom environments for the long term.</li><li><strong>Concealed screw mounting:</strong> Hardware installs flush to the wall with no exposed screws, giving the shelf a built-in appearance straight from the box.</li><li><strong>18 x 5-inch glass surface:</strong> Enough room for daily essentials — soaps, candles, small organizers — without overwhelming the wall.</li><li><strong>Wall-mounted design:</strong> Keeps counters and surfaces clear, ideal for bathrooms where floor and vanity space is limited.</li><li><strong>Venus Collection coordination:</strong> Pairs with matching Venus towel bars, robe hooks, and soap dishes for a cohesive, unified bathroom look.</li></ul><p>Includes the glass shelf and all installation hardware. Backed by a Limited Lifetime Warranty. To complete the look, explore the full Venus Collection — every piece shares the same round backplate geometry and is available across a wide range of designer finishes to match your existing fixtures.</p>",6,526,0,26090,0.007908,strict_json,1,1,False,
CM-P-700-24-GB,claude-sonnet-4-6,1,google,{FINISH_NAME} Camo Collection 24 Inch Decorative Grab Bar | Farmhouse Style Solid Brass Wall Mount | Allied Brass,"Safety hardware that actually belongs in your bathroom — this Camo Collection 24-inch decorative grab bar brings an outdoor-inspired camouflage pattern and industrial pipe-fitting silhouette to the wall, so the support you're installing for safety reads as a deliberate farmhouse design choice rather than a clinical add-on. {FINISH_SENTENCE} The industrial pipe fittings give the bar a rugged, workshop-inspired profile that blends naturally with farmhouse and cabin-style bathrooms, while the camo pattern wraps the full length of the bar for a cohesive, intentional look that coordinates with the Camo Collection's broader line of wall mounted bath accessories. Solid brass construction means this grab bar resists corrosion and rust even in the humid environment directly beside a tub, shower, or toilet — durable bathroom fixtures built to hold their finish and their footing through years of daily use. Wall mount installation keeps it anchored firmly to the wall where it matters most: providing balance and security for family members of all ages, from children navigating a slippery tub to adults who need a steady handhold near the toilet or shower threshold. Color-coordinated mounting hardware is included so the fasteners blend with the finish rather than breaking the design. Grab bar and all installation hardware included; no assembly required. Backed by a Limited Lifetime Warranty.",6,373,0,20723,0.005613,strict_json,1,1,False,
CM-P-700-24-GB,claude-sonnet-4-6,1,bing,{FINISH_NAME} 24 Inch Decorative Grab Bar - Camo Collection Farmhouse Style - Allied Brass,"This 24-inch wall-mounted grab bar from the Allied Brass Camo Collection pairs industrial pipe fittings with a camouflage pattern finish — a farmhouse-style safety fixture designed for bathrooms where outdoor character matters as much as function. {FINISH_SENTENCE} The camo finish is protected with lifetime materials that resist corrosion and rust, so the pattern stays sharp and clean even in high-humidity shower and tub environments. Color-coordinated mounting screws are included, so the hardware disappears into the design rather than interrupting it. Wall mount installation uses #12 x 2"" screws for a firm, reliable anchor — no assembly required beyond securing to the wall. Solid metal construction gives this grab bar the durability to support daily use for children, caregivers, and anyone who needs a reliable handhold in and around the tub, shower, or toilet. It balances safety function with decorative appeal, making it a natural fit for a cabin-inspired or farmhouse bathroom where standard chrome hardware would feel out of place. Backed by a limited lifetime warranty, this Camo Collection grab bar is a wall-mounted bath accessory built to look intentional and perform without compromise.",6,308,0,21853,0.004638,strict_json,1,1,False,
CM-P-700-24-GB,claude-sonnet-4-6,1,shopify,Camo Collection 24-Inch Decorative Grab Bar - Farmhouse Wall Mount,"<p>Most grab bars treat safety as purely utilitarian — a clinical chrome bar that works but clashes with every design choice you've made. The Camo Collection 24-Inch Grab Bar takes a different approach: industrial pipe fittings shaped in a farmhouse style, wrapped in a camouflage pattern that makes safety hardware feel intentional in an outdoor-inspired or rustic bathroom.</p><p>The camo pattern is the design detail that sets this grab bar apart. It draws from the Camo Collection's identity — pairing an outdoor-enthusiast aesthetic with the structural pipe-fitting silhouette that defines the farmhouse style. The result is a wall-mounted grab bar that looks like it belongs alongside shiplap walls and natural wood accents, not like an afterthought installed for function alone.</p><ul><li><strong>Solid brass construction</strong> — corrosion-resistant and rust-free, so the finish holds up in the humidity of a shower or tub surround without pitting or degrading over time.</li><li><strong>Industrial pipe fitting design</strong> — blends the farmhouse aesthetic with the camo theme for a look that reads as deliberate, not clinical.</li><li><strong>24-inch length</strong> — a versatile size for shower walls, beside the tub, or next to the toilet where balance support matters most.</li><li><strong>Wall-mounted installation</strong> — mounts firmly to the wall with color-coordinating screws included, so the hardware disappears into the finish rather than standing out.</li><li><strong>Corrosion-free camo finish</strong> — protected to maintain its appearance in wet bathroom environments without fading or flaking.</li><li><strong>Limited lifetime warranty</strong> — all installation hardware included, no assembly required.</li></ul><p>Every piece of installation hardware ships with the grab bar — color-coordinated screws included. Backed by a limited lifetime warranty. If you're building out an outdoor-inspired or farmhouse bathroom, the Camo Collection coordinates across matching accessories so your safety hardware shares the same design language as the rest of the room.</p>",6,560,0,26256,0.008418,strict_json,1,1,False,
2020T,claude-sonnet-4-6,1,google,{FINISH_NAME} Continental Collection Solid Brass Robe Hook | Wall Mounted Towel Hook | Transitional Bathroom Hardware | Allied Brass,"When every robe and towel deserves a dedicated spot — this Continental Collection solid brass robe hook delivers a wall-mounted solution with perfectly round backplate geometry and a gently curved hook that keeps things organized without cluttering the wall. {FINISH_SENTENCE} The Continental Collection's defining detail is its circular backplate profile: smooth, balanced, and proportioned to sit quietly against tile or paint without competing with other design elements — a transitional bathroom hardware choice that works equally well in a contemporary powder room or a more traditional bath. Solid brass construction means this decorative bathroom hook resists the corrosion and humidity that bathroom environments deliver daily, maintaining finish integrity and structural strength through years of use. The wall-mounted design keeps floor space clear and positions robes and towels exactly where you need them — within reach at the shower door or beside the vanity. Concealed screw mounting hardware creates a clean, polished installation with no exposed fasteners on the wall surface, and no assembly is required. This versatile bath accessory coordinates naturally with matching Continental Collection towel bars, toilet paper holders, and other wall-mounted hardware for a cohesive look throughout the space. All installation hardware is included. Backed by a Limited Lifetime Warranty.",6,337,0,19559,0.005073,strict_json,1,1,False,
