sku,model,pass_num,platform,title,description,prompt_tokens,completion_tokens,cached_tokens,latency_ms,cost_usd,parse_mode,json_retries,api_retries,has_approved_content,error
DM-1/3X,claude-sonnet-4-6,1,google,"{FINISH_NAME} 8-Inch 3X Magnifying Makeup Mirror, Height Adjustable Countertop - Solid Brass - Allied Brass","The height-adjustable arm on this solid brass countertop makeup mirror is the detail that sets it apart — it telescopes from 17 to 23 inches, so you can position the 8-inch mirror face exactly where your eyes need it, whether seated or standing. {FINISH_SENTENCE} The double-faced mirror glass gives you a clear side for everyday grooming and a 3X magnification side for precise makeup application or close-up shaving — no second mirror needed on the vanity. Solid brass construction runs all the way through, including the heavy base that resists tipping even when the arm is extended to its full height. A felt pad on the base protects tile, marble, and wood countertops from scratching. The mirror pivots and tilts freely so you can dial in any viewing angle without fighting stiff joints. Traditional in style, this adjustable height makeup mirror works as a countertop vanity mirror in bathrooms where the details are meant to hold up over years of daily use — not just look good on day one. No assembly required; it's ready to use right out of the box.",6,322,0,7593,0.004848,strict_json,1,1,False,
DM-1/3X,claude-sonnet-4-6,1,bing,{FINISH_NAME} 8-Inch 3X Magnifying Makeup Mirror Height Adjustable 17-23 Inch Solid Brass Countertop Vanity Mirror - Allied Brass,"This 8-inch solid brass countertop makeup mirror adjusts in height from 17 to 23 inches, giving you a personalized grooming position that a fixed-height stand simply can't offer. {FINISH_SENTENCE} The double-faced 8-inch mirror glass delivers a clear view on one side and 3X magnification on the other — precise enough for makeup application and detailed grooming without a separate magnifying mirror. A heavy solid brass base keeps the mirror stable on any vanity surface, and felt pads protect countertops from scratching. The arm pivots and tilts freely, so you can dial in your exact viewing angle rather than leaning forward to meet a rigid mirror. Solid brass construction means the base and arm resist corrosion and hold their finish even in the humid environment of a bathroom — this is a countertop mirror built to stay looking sharp for years. Traditional in style, it coordinates naturally with other Allied Brass bathroom accessories for a cohesive, well-considered space.",6,285,0,7299,0.004293,strict_json,1,1,False,
DM-1/3X,claude-sonnet-4-6,1,shopify,Height Adjustable Countertop Makeup Mirror - 8-Inch 3X Magnification,"<p>Most countertop makeup mirrors wobble at the wrong moment or sit at a fixed height that forces you to hunch or strain. This 8-inch vanity mirror solves both problems with a heavy solid brass base engineered to resist tipping and a height-adjustable arm that moves from 17 to 23 inches — so you find the right angle instead of contorting around it.</p><p>The traditional design reflects a classic sensibility: clean proportions, a substantial weighted stand, and a double-faced mirror that pivots and tilts for complete flexibility. One side delivers a true reflection; flip it over and 3X magnification brings every detail into sharp focus for precise makeup application or shaving. The solid brass construction — the same corrosion-resistant material used in quality plumbing and hardware — ensures the finish holds and the frame stays stable through years of daily bathroom humidity.</p><ul><li><strong>Solid brass construction:</strong> The entire frame and base are crafted from solid brass, which resists corrosion and maintains finish integrity in humid bathroom environments.</li><li><strong>8-inch double-faced mirror:</strong> Full-size diameter with a clear reflection on one side and 3X magnification on the other for detailed grooming tasks.</li><li><strong>Height adjustable from 17 to 23 inches:</strong> Accommodates different countertop heights and personal preferences without tools or repositioning the base.</li><li><strong>Pivots and tilts:</strong> The mirror head adjusts to your exact viewing angle, eliminating the need to lean or reposition yourself.</li><li><strong>Heavy base with felt pad:</strong> The weighted solid brass base prevents tipping, while a felt pad underneath protects countertop and vanity surfaces from scratching.</li><li><strong>Available in a wide range of designer finishes:</strong> Choose from coordinating finishes to match your existing bathroom fixtures and hardware.</li></ul><p>No assembly required — the mirror arrives ready to use. Backed by Allied Brass's commitment to solid brass quality, this adjustable height makeup mirror is built to be a lasting fixture on your vanity, not a replacement in a year.</p>",6,576,0,13131,0.008658,strict_json,1,1,False,
433/18,claude-sonnet-4-6,1,google,{FINISH_NAME} 18-Inch Glass Shelf - Venus Collection Wall Mount - Allied Brass,"Quarter-inch thick glass paired with solid brass hardware is the structural story behind this 18-inch Venus Collection wall shelf — the glass is thick enough to hold everyday bathroom essentials without flex, while the brass brackets won't corrode or loosen over time the way zinc-alloy alternatives do. {FINISH_SENTENCE} Concealed screw mounting means the wall stays clean with no visible hardware interrupting the shelf's minimalist silhouette — a detail that elevates the whole installation and makes the Venus Collection's commitment to clean, uncluttered geometry feel intentional rather than accidental. The 18 x 5 inch glass surface gives you practical storage width for bottles, soaps, or candles without projecting awkwardly from the wall. As part of the Venus Collection, this shelf coordinates with matching towel bars, robe hooks, and soap dishes, so your minimalist bathroom hardware shares a single design language throughout. Installation hardware is included, no assembly is required, and a Limited Lifetime Warranty backs the solid brass construction and finish integrity for the life of the product.",6,288,0,7000,0.004338,strict_json,1,1,False,
433/18,claude-sonnet-4-6,1,bing,{FINISH_NAME} 18 Inch Glass Shelf Venus Collection Solid Brass Wall Mount - Allied Brass,"This 18 x 5 inch wall-mounted glass shelf pairs 1/4-inch thick tempered glass with solid brass hardware — a combination that holds everyday bathroom essentials without the flex or wobble of lighter mounting systems. {FINISH_SENTENCE} Concealed screw mounting keeps the wall surface clean, and because no assembly is required, installation is straightforward with the included #8 x 1-1/4 inch hardware. The solid brass brackets won't corrode or pit in humid bathroom conditions, giving the shelf lasting structural integrity that matches its clean visual lines. Part of the Venus Collection, which is built around pure circular geometry — round backplates and smooth cylindrical posts — so this shelf integrates naturally with matching Venus towel bars, robe hooks, and accessories for a cohesive minimalist bathroom hardware look. Whether you're organizing a primary bath or finishing a powder room, this wall-mounted glass shelf brings functional storage and intentional design to the same surface. Backed by a Limited Lifetime Warranty.",6,266,0,7716,0.004008,strict_json,1,1,False,
433/18,claude-sonnet-4-6,1,shopify,Venus Collection 18-Inch Wall Mount Glass Shelf,"<p>A glass shelf that doubles storage and visual space is one of the most functional upgrades a bathroom can get — but only if the hardware holding it up is built to last. The Venus Collection 18-Inch Glass Shelf pairs 1/4-inch thick glass with solid brass brackets and concealed screw mounting, so what you see on the wall is clean, intentional, and genuinely sturdy.</p><p>The Venus Collection is built around pure circular geometry — round backplates, smooth cylindrical posts, and a commitment to essential form without ornamentation. That minimalist design language means this shelf doesn't compete with your tile or your accessories; it complements them. The solid brass hardware carries the same serene, architectural quality as every other piece in the collection, making coordination across your bathroom straightforward.</p><ul><li><strong>1/4-inch thick glass:</strong> Substantial enough for everyday bathroom storage — toiletries, candles, small containers — with the structural integrity that thinner glass shelves can't match.</li><li><strong>Solid brass construction:</strong> The brackets and all mounting hardware are solid brass, which resists corrosion and maintains its finish integrity in humid bathroom environments.</li><li><strong>Concealed screw mounting:</strong> Hardware disappears into the wall for a clean, uncluttered look that suits the Venus Collection's minimalist aesthetic.</li><li><strong>18 x 5-inch glass surface:</strong> Enough depth and width to hold a practical arrangement of bathroom essentials without overwhelming the wall.</li><li><strong>No assembly required:</strong> Arrives ready to install; glass shelf and all installation hardware are included.</li><li><strong>Limited Lifetime Warranty:</strong> Backed by Allied Brass's warranty for lasting confidence in the product's durability and finish.</li></ul><p>The Venus Collection shelf ships with everything needed for wall installation and coordinates with matching Venus Collection towel bars, robe hooks, soap dishes, and more — available across a wide range of designer finishes so every detail in your bathroom speaks the same design language.</p>",6,532,0,26719,0.007998,strict_json,1,1,False,
CM-P-700-24-GB,claude-sonnet-4-6,1,google,{FINISH_NAME} 24-Inch Decorative Grab Bar - Camo Collection Farmhouse Wall Mount - Allied Brass,"Industrial pipe fittings dressed in a camouflage pattern — that's the design detail that sets this 24-inch grab bar apart from every plain chrome safety bar on the market. The Camo Collection blends farmhouse-style hardware with an outdoor-themed finish, so the bar reads as intentional décor rather than an afterthought. {FINISH_SENTENCE} The camo finish is sealed with lifetime materials to stay corrosion-free and rust-free, meaning it holds up in wet shower and tub surroundings without peeling or fading. Wall-mount installation is straightforward, and color-coordinated mounting hardware is included so the screws don't break the visual theme. Beyond the look, this is functional, durable bathroom hardware — the grab bar supports balance, reduces fatigue, and gives children, seniors, and anyone navigating a slippery surface something reliable to hold. The limited lifetime warranty backs the construction, and no additional assembly is required out of the box. For outdoor enthusiasts who refuse to let safety hardware look institutional, this is the grab bar that fits the aesthetic without sacrificing function.",6,311,0,7541,0.004683,strict_json,1,1,False,
CM-P-700-24-GB,claude-sonnet-4-6,1,bing,{FINISH_NAME} 24 Inch Decorative Grab Bar - Camo Collection Farmhouse Wall Mount - Allied Brass,"This 24-inch wall mount grab bar from the Allied Brass Camo Collection combines farmhouse-style industrial pipe fittings with a distinctive camouflage pattern — a design detail that makes safety hardware feel intentional rather than institutional. {FINISH_SENTENCE} The camo finish is protected with lifetime materials for corrosion-free, rust-free performance, so it holds up in the humidity of a shower or tub surround without degrading over time. Wall-mounted installation is straightforward — color-coordinated mounting screws and all installation hardware are included, so nothing looks mismatched once it's on the wall. As a functional piece of durable bathroom hardware, this grab bar helps maintain balance for family members of all ages and abilities, whether that means steadying a child in the tub or giving an older adult a reliable handhold near the toilet. The solid metal construction gives it the structural integrity you need from a wall-mounted bath accessory that's expected to bear real use. Backed by a Limited Lifetime Warranty, this designer bathroom hardware piece is a rare find: a quality bath accessory that serves a genuine safety function while committing fully to a distinctive aesthetic.",6,303,0,17507,0.004563,strict_json,1,1,False,
CM-P-700-24-GB,claude-sonnet-4-6,1,shopify,Camo Collection 24-Inch Decorative Grab Bar - Farmhouse Style Wall Mount,"<p>Most grab bars are purely clinical — white, utilitarian, and visually out of place in a thoughtfully designed bathroom. The Camo Collection 24-Inch Grab Bar from Allied Brass solves that compromise by pairing real safety function with a genuine design identity: an industrial pipe-fitting silhouette in a camouflage finish that makes it feel intentional, not institutional.</p><p>Built for the outdoor enthusiast who brings that sensibility indoors, this grab bar blends a farmhouse-style aesthetic with a camo pattern that coordinates with the broader Camo Collection. The industrial pipe fittings aren't decorative afterthoughts — they're structural elements that reinforce the wall-mounted installation and give the bar a grounded, rugged character that suits cabin bathrooms, hunter's retreats, and nature-inspired interiors alike. Color-coordinated mounting hardware means no mismatched screws breaking the look at the wall plate.</p><ul><li><strong>Solid brass construction</strong> — corrosion-resistant and rust-free, so the bar holds up in humid shower and tub environments without pitting or degrading over time.</li><li><strong>Camo finish with lifetime protection</strong> — the pattern is applied with materials rated for long-term performance, keeping the look clean and intact.</li><li><strong>Wall-mounted installation</strong> — mounts firmly to the wall using included #12 x 2"" color-coordinated screws; no separate hardware purchase needed.</li><li><strong>24-inch length</strong> — a versatile size suited for tub surrounds, shower walls, and alongside the toilet.</li><li><strong>Farmhouse-meets-outdoor design</strong> — industrial pipe fittings echo the Camo Collection's identity and coordinate with matching bath accessories in the same line.</li><li><strong>Limited lifetime warranty</strong> — backed by Allied Brass for long-term confidence.</li></ul><p>Every grab bar in the Camo Collection ships with all installation hardware included — no separate trip to the hardware store. For caregivers, children, and anyone who values a steadying point in the bathroom, this bar delivers reliable support without sacrificing the design story of the room around it.</p>",6,592,0,26550,0.008898,strict_json,1,1,False,
2020T,claude-sonnet-4-6,1,google,{FINISH_NAME} Solid Brass Robe Hook - Continental Collection Wall Mount - Allied Brass,"Perfectly round backplates and a gently curved hook give this Continental Collection robe hook a clean, balanced silhouette that works in both contemporary and traditional bathrooms — a genuinely transitional design rooted in quiet geometry rather than trend. {FINISH_SENTENCE} Constructed entirely of solid brass, this wall-mounted hook has the structural integrity to hold robes, towels, and bags without wobbling or loosening over time — solid brass resists corrosion where cheaper alloys eventually pit and degrade. Concealed screw mounting keeps the wall surface clean with no exposed hardware visible once installed, giving it a finished, intentional look. Everything needed for installation is included in the box. The Continental Collection extends across coordinating towel hooks, towel bars, and bathroom accessories, so this decorative bathroom hook can anchor a cohesive look across your entire space. Backed by a Limited Lifetime Warranty, it's transitional bathroom hardware built to outlast the trends around it.",6,273,0,7749,0.004113,strict_json,1,1,False,
